File,Model,Accuracy,Std Dev,,,
b1000d10.csv,DecisionTreeClassifier(),0.96037037,0.005925926,,0.914197531,0.014227661
b1000d100.csv,DecisionTreeClassifier(),0.881111111,0.021545244,,0.93144856,0.013451717
b1000d30.csv,DecisionTreeClassifier(),0.93962963,0.008331275,,0.719950617,0.035172286
b100d10.csv,DecisionTreeClassifier(),0.902962963,0.018761371,,0.807201646,0.014249326
b100d100.csv,DecisionTreeClassifier(),0.874814815,0.016169541,,0.926938272,0.015000366
b100d30.csv,DecisionTreeClassifier(),0.91037037,0.011747223,,,
b5000d10.csv,DecisionTreeClassifier(),0.937037037,0.018257419,,,
b5000d100.csv,DecisionTreeClassifier(),0.875925926,0.016850834,,,
b5000d30.csv,DecisionTreeClassifier(),0.94,0.002771598,,,
b1000d10.csv,DecisionTreeClassifier(),0.959259259,0.006728112,,,
b1000d100.csv,DecisionTreeClassifier(),0.886666667,0.023697916,,,
b1000d30.csv,DecisionTreeClassifier(),0.942222222,0.012250248,,,
b100d10.csv,DecisionTreeClassifier(),0.906666667,0.020839711,,,
b100d100.csv,DecisionTreeClassifier(),0.876666667,0.016996732,,,
b100d30.csv,DecisionTreeClassifier(),0.91,0.012701058,,,
b5000d10.csv,DecisionTreeClassifier(),0.93962963,0.018279945,,,
b5000d100.csv,DecisionTreeClassifier(),0.871111111,0.01343582,,,
b5000d30.csv,DecisionTreeClassifier(),0.944074074,0.006768766,,,
b1000d10.csv,DecisionTreeClassifier(),0.957777778,0.00656298,,,
b1000d100.csv,DecisionTreeClassifier(),0.877777778,0.02490035,,,
b1000d30.csv,DecisionTreeClassifier(),0.940740741,0.012394963,,,
b100d10.csv,DecisionTreeClassifier(),0.907777778,0.02226539,,,
b100d100.csv,DecisionTreeClassifier(),0.88037037,0.016169541,,,
b100d30.csv,DecisionTreeClassifier(),0.912592593,0.010170022,,,
b5000d10.csv,DecisionTreeClassifier(),0.938518519,0.0203333,,,
b5000d100.csv,DecisionTreeClassifier(),0.874444444,0.018533327,,,
b5000d30.csv,DecisionTreeClassifier(),0.942222222,0.004444444,,,
b1000d10.csv,DecisionTreeClassifier(),0.956666667,0.008811391,,,
b1000d100.csv,DecisionTreeClassifier(),0.879259259,0.023052395,,,
b1000d30.csv,DecisionTreeClassifier(),0.94,0.009840985,,,
b100d10.csv,DecisionTreeClassifier(),0.902222222,0.021449529,,,
b100d100.csv,DecisionTreeClassifier(),0.876296296,0.015017137,,,
b100d30.csv,DecisionTreeClassifier(),0.911481481,0.01263609,,,
b5000d10.csv,DecisionTreeClassifier(),0.939259259,0.020129894,,,
b5000d100.csv,DecisionTreeClassifier(),0.875925926,0.017489954,,,
b5000d30.csv,DecisionTreeClassifier(),0.941111111,0.005902732,,,
b1000d10.csv,DecisionTreeClassifier(),0.955185185,0.007891584,,,
b1000d100.csv,DecisionTreeClassifier(),0.880740741,0.019827791,,,
b1000d30.csv,DecisionTreeClassifier(),0.942962963,0.010436298,,,
b100d10.csv,DecisionTreeClassifier(),0.907407407,0.014953059,,,
b100d100.csv,DecisionTreeClassifier(),0.875185185,0.015342456,,,
b100d30.csv,DecisionTreeClassifier(),0.910740741,0.008063534,,,
b5000d10.csv,DecisionTreeClassifier(),0.934074074,0.021230979,,,
b5000d100.csv,DecisionTreeClassifier(),0.875185185,0.01723715,,,
b5000d30.csv,DecisionTreeClassifier(),0.944444444,0.003098741,,,
b1000d10.csv,GradientBoostingClassifier(),0.977777778,0.007680163,,,
b1000d100.csv,GradientBoostingClassifier(),0.902222222,0.020667861,,,
b1000d30.csv,GradientBoostingClassifier(),0.958148148,0.008654312,,,
b100d10.csv,GradientBoostingClassifier(),0.926666667,0.007276623,,,
b100d100.csv,GradientBoostingClassifier(),0.900740741,0.012261441,,,
b100d30.csv,GradientBoostingClassifier(),0.915925926,0.008080527,,,
b5000d10.csv,GradientBoostingClassifier(),0.953703704,0.017607206,,,
b5000d100.csv,GradientBoostingClassifier(),0.893333333,0.027656525,,,
b5000d30.csv,GradientBoostingClassifier(),0.954444444,0.011024353,,,
b1000d10.csv,GradientBoostingClassifier(),0.977407407,0.007535922,,,
b1000d100.csv,GradientBoostingClassifier(),0.901851852,0.020047953,,,
b1000d30.csv,GradientBoostingClassifier(),0.957777778,0.008478165,,,
b100d10.csv,GradientBoostingClassifier(),0.924074074,0.01104921,,,
b100d100.csv,GradientBoostingClassifier(),0.900740741,0.012754945,,,
b100d30.csv,GradientBoostingClassifier(),0.915925926,0.008811391,,,
b5000d10.csv,GradientBoostingClassifier(),0.953703704,0.017607206,,,
b5000d100.csv,GradientBoostingClassifier(),0.893703704,0.027382371,,,
b5000d30.csv,GradientBoostingClassifier(),0.954444444,0.011024353,,,
b1000d10.csv,GradientBoostingClassifier(),0.977037037,0.007181748,,,
b1000d100.csv,GradientBoostingClassifier(),0.902222222,0.020667861,,,
b1000d30.csv,GradientBoostingClassifier(),0.957777778,0.008478165,,,
b100d10.csv,GradientBoostingClassifier(),0.923333333,0.010250631,,,
b100d100.csv,GradientBoostingClassifier(),0.902592593,0.010250631,,,
b100d30.csv,GradientBoostingClassifier(),0.916296296,0.007715802,,,
b5000d10.csv,GradientBoostingClassifier(),0.953703704,0.017607206,,,
b5000d100.csv,GradientBoostingClassifier(),0.894074074,0.026897152,,,
b5000d30.csv,GradientBoostingClassifier(),0.954814815,0.011086392,,,
b1000d10.csv,GradientBoostingClassifier(),0.977407407,0.007351642,,,
b1000d100.csv,GradientBoostingClassifier(),0.901481481,0.02070102,,,
b1000d30.csv,GradientBoostingClassifier(),0.957777778,0.008478165,,,
b100d10.csv,GradientBoostingClassifier(),0.924074074,0.01104921,,,
b100d100.csv,GradientBoostingClassifier(),0.903333333,0.010304021,,,
b100d30.csv,GradientBoostingClassifier(),0.916296296,0.007715802,,,
b5000d10.csv,GradientBoostingClassifier(),0.953703704,0.017607206,,,
b5000d100.csv,GradientBoostingClassifier(),0.894444444,0.026423791,,,
b5000d30.csv,GradientBoostingClassifier(),0.954814815,0.011086392,,,
b1000d10.csv,GradientBoostingClassifier(),0.977777778,0.007680163,,,
b1000d100.csv,GradientBoostingClassifier(),0.902962963,0.02180472,,,
b1000d30.csv,GradientBoostingClassifier(),0.957777778,0.008478165,,,
b100d10.csv,GradientBoostingClassifier(),0.926666667,0.007276623,,,
b100d100.csv,GradientBoostingClassifier(),0.903333333,0.010436298,,,
b100d30.csv,GradientBoostingClassifier(),0.915925926,0.008080527,,,
b5000d10.csv,GradientBoostingClassifier(),0.953703704,0.017607206,,,
b5000d100.csv,GradientBoostingClassifier(),0.894444444,0.026423791,,,
b5000d30.csv,GradientBoostingClassifier(),0.954814815,0.011086392,,,
b1000d10.csv,LinearSVC(),0.758518519,0.005925926,,,
b1000d100.csv,LinearSVC(),0.776666667,0.031044903,,,
b1000d30.csv,LinearSVC(),0.757407407,0.028616954,,,
b100d10.csv,LinearSVC(),0.653703704,0.0089197,,,
b100d100.csv,LinearSVC(),0.728148148,0.065748826,,,
b100d30.csv,LinearSVC(),0.730740741,0.050138355,,,
b5000d10.csv,LinearSVC(),0.738888889,0.021564336,,,
b5000d100.csv,LinearSVC(),0.73037037,0.023962705,,,
b5000d30.csv,LinearSVC(),0.625185185,0.039607124,,,
b1000d10.csv,LinearSVC(),0.762962963,0.009514987,,,
b1000d100.csv,LinearSVC(),0.795555556,0.013125959,,,
b1000d30.csv,LinearSVC(),0.760740741,0.015017137,,,
b100d10.csv,LinearSVC(),0.651111111,0.012092465,,,
b100d100.csv,LinearSVC(),0.726296296,0.098126483,,,
b100d30.csv,LinearSVC(),0.718148148,0.04583324,,,
b5000d10.csv,LinearSVC(),0.741111111,0.018496283,,,
b5000d100.csv,LinearSVC(),0.693333333,0.033815444,,,
b5000d30.csv,LinearSVC(),0.628888889,0.048638528,,,
b1000d10.csv,LinearSVC(),0.768518519,0.006521043,,,
b1000d100.csv,LinearSVC(),0.77962963,0.023129622,,,
b1000d30.csv,LinearSVC(),0.751481481,0.025293883,,,
b100d10.csv,LinearSVC(),0.641481481,0.02284918,,,
b100d100.csv,LinearSVC(),0.693703704,0.123058865,,,
b100d30.csv,LinearSVC(),0.71037037,0.062279515,,,
b5000d10.csv,LinearSVC(),0.735925926,0.016752864,,,
b5000d100.csv,LinearSVC(),0.671111111,0.080034286,,,
b5000d30.csv,LinearSVC(),0.655185185,0.020568064,,,
b1000d10.csv,LinearSVC(),0.77037037,0.017723683,,,
b1000d100.csv,LinearSVC(),0.741111111,0.101392229,,,
b1000d30.csv,LinearSVC(),0.752222222,0.033770792,,,
b100d10.csv,LinearSVC(),0.648148148,0.009147473,,,
b100d100.csv,LinearSVC(),0.762222222,0.039797154,,,
b100d30.csv,LinearSVC(),0.730740741,0.030465074,,,
b5000d10.csv,LinearSVC(),0.731481481,0.014953059,,,
b5000d100.csv,LinearSVC(),0.735925926,0.037908271,,,
b5000d30.csv,LinearSVC(),0.655925926,0.029007354,,,
b1000d10.csv,LinearSVC(),0.767037037,0.016988659,,,
b1000d100.csv,LinearSVC(),0.763333333,0.061244523,,,
b1000d30.csv,LinearSVC(),0.751111111,0.027054789,,,
b100d10.csv,LinearSVC(),0.650740741,0.018907036,,,
b100d100.csv,LinearSVC(),0.73962963,0.085149751,,,
b100d30.csv,LinearSVC(),0.722592593,0.037025924,,,
b5000d10.csv,LinearSVC(),0.727037037,0.004771888,,,
b5000d100.csv,LinearSVC(),0.711111111,0.044088077,,,
b5000d30.csv,LinearSVC(),0.651851852,0.022680461,,,
b1000d10.csv,MLPClassifier(),0.834074074,0.011921094,,,
b1000d100.csv,MLPClassifier(),0.813703704,0.008965717,,,
b1000d30.csv,MLPClassifier(),0.816666667,0.010409977,,,
b100d10.csv,MLPClassifier(),0.707777778,0.023639961,,,
b100d100.csv,MLPClassifier(),0.81037037,0.018761371,,,
b100d30.csv,MLPClassifier(),0.828888889,0.022486088,,,
b5000d10.csv,MLPClassifier(),0.827037037,0.024133829,,,
b5000d100.csv,MLPClassifier(),0.815925926,0.014277285,,,
b5000d30.csv,MLPClassifier(),0.811851852,0.007276623,,,
b1000d10.csv,MLPClassifier(),0.832222222,0.015956044,,,
b1000d100.csv,MLPClassifier(),0.812592593,0.006869347,,,
b1000d30.csv,MLPClassifier(),0.82,0.016287877,,,
b100d10.csv,MLPClassifier(),0.717407407,0.019337448,,,
b100d100.csv,MLPClassifier(),0.801481481,0.016538603,,,
b100d30.csv,MLPClassifier(),0.830740741,0.014132433,,,
b5000d10.csv,MLPClassifier(),0.839259259,0.026718057,,,
b5000d100.csv,MLPClassifier(),0.812222222,0.012317251,,,
b5000d30.csv,MLPClassifier(),0.818888889,0.009471638,,,
b1000d10.csv,MLPClassifier(),0.838518519,0.016203439,,,
b1000d100.csv,MLPClassifier(),0.815925926,0.011629866,,,
b1000d30.csv,MLPClassifier(),0.826296296,0.015774474,,,
b100d10.csv,MLPClassifier(),0.706666667,0.023587679,,,
b100d100.csv,MLPClassifier(),0.802222222,0.009827036,,,
b100d30.csv,MLPClassifier(),0.831111111,0.017816316,,,
b5000d10.csv,MLPClassifier(),0.821851852,0.018045819,,,
b5000d100.csv,MLPClassifier(),0.811481481,0.005665577,,,
b5000d30.csv,MLPClassifier(),0.819259259,0.004913518,,,
b1000d10.csv,MLPClassifier(),0.83,0.006017806,,,
b1000d100.csv,MLPClassifier(),0.814444444,0.008795809,,,
b1000d30.csv,MLPClassifier(),0.824814815,0.017862453,,,
b100d10.csv,MLPClassifier(),0.727037037,0.024999314,,,
b100d100.csv,MLPClassifier(),0.804074074,0.013527394,,,
b100d30.csv,MLPClassifier(),0.823703704,0.017583818,,,
b5000d10.csv,MLPClassifier(),0.813333333,0.014411168,,,
b5000d100.csv,MLPClassifier(),0.806296296,0.007644358,,,
b5000d30.csv,MLPClassifier(),0.80962963,0.014171205,,,
b1000d10.csv,MLPClassifier(),0.819259259,0.014749858,,,
b1000d100.csv,MLPClassifier(),0.820740741,0.010886621,,,
b1000d30.csv,MLPClassifier(),0.813333333,0.003186046,,,
b100d10.csv,MLPClassifier(),0.71962963,0.016546895,,,
b100d100.csv,MLPClassifier(),0.812222222,0.011805465,,,
b100d30.csv,MLPClassifier(),0.819259259,0.020806773,,,
b5000d10.csv,MLPClassifier(),0.817777778,0.012968253,,,
b5000d100.csv,MLPClassifier(),0.813333333,0.006869347,,,
b5000d30.csv,MLPClassifier(),0.810740741,0.015422713,,,
File,Model,Accuracy,Std Dev,,,
File,Model,Accuracy,Std Dev,,,
File,Model,Accuracy,Std Dev,,,
File,Model,Accuracy,Std Dev,,,
b1000d10.csv,RandomForestClassifier(),0.974074074,0.007590334,,,
b1000d100.csv,RandomForestClassifier(),0.905925926,0.020400651,,,
b1000d30.csv,RandomForestClassifier(),0.948518519,0.008314794,,,
b100d10.csv,RandomForestClassifier(),0.91,0.015475987,,,
b100d100.csv,RandomForestClassifier(),0.894814815,0.016867107,,,
b100d30.csv,RandomForestClassifier(),0.914074074,0.012754945,,,
b5000d10.csv,RandomForestClassifier(),0.957407407,0.016438771,,,
b5000d100.csv,RandomForestClassifier(),0.895555556,0.026073653,,,
b5000d30.csv,RandomForestClassifier(),0.945555556,0.011391523,,,
b1000d10.csv,RandomForestClassifier(),0.974444444,0.005543196,,,
b1000d100.csv,RandomForestClassifier(),0.902222222,0.021385482,,,
b1000d30.csv,RandomForestClassifier(),0.945185185,0.012092465,,,
b100d10.csv,RandomForestClassifier(),0.91037037,0.009840985,,,
b100d100.csv,RandomForestClassifier(),0.895925926,0.014787011,,,
b100d30.csv,RandomForestClassifier(),0.911851852,0.015652257,,,
b5000d10.csv,RandomForestClassifier(),0.956296296,0.016127067,,,
b5000d100.csv,RandomForestClassifier(),0.895925926,0.027799991,,,
b5000d30.csv,RandomForestClassifier(),0.946296296,0.008445744,,,
b1000d10.csv,RandomForestClassifier(),0.974074074,0.00496904,,,
b1000d100.csv,RandomForestClassifier(),0.902592593,0.020938213,,,
b1000d30.csv,RandomForestClassifier(),0.945925926,0.010304021,,,
b100d10.csv,RandomForestClassifier(),0.913703704,0.014132433,,,
b100d100.csv,RandomForestClassifier(),0.894814815,0.013476597,,,
b100d30.csv,RandomForestClassifier(),0.907777778,0.015774474,,,
b5000d10.csv,RandomForestClassifier(),0.954814815,0.018053419,,,
b5000d100.csv,RandomForestClassifier(),0.896296296,0.024002743,,,
b5000d30.csv,RandomForestClassifier(),0.951481481,0.010949441,,,
b1000d10.csv,RandomForestClassifier(),0.976296296,0.005665577,,,
b1000d100.csv,RandomForestClassifier(),0.901481481,0.019542083,,,
b1000d30.csv,RandomForestClassifier(),0.945925926,0.009756992,,,
b100d10.csv,RandomForestClassifier(),0.912592593,0.014600299,,,
b100d100.csv,RandomForestClassifier(),0.896296296,0.013808409,,,
b100d30.csv,RandomForestClassifier(),0.91,0.01197849,,,
b5000d10.csv,RandomForestClassifier(),0.952962963,0.019478806,,,
b5000d100.csv,RandomForestClassifier(),0.898518519,0.026692374,,,
b5000d30.csv,RandomForestClassifier(),0.95,0.010924356,,,
b1000d10.csv,RandomForestClassifier(),0.976666667,0.008331275,,,
b1000d100.csv,RandomForestClassifier(),0.902222222,0.020734126,,,
b1000d30.csv,RandomForestClassifier(),0.943333333,0.01237281,,,
b100d10.csv,RandomForestClassifier(),0.916296296,0.016538603,,,
b100d100.csv,RandomForestClassifier(),0.895555556,0.014420683,,,
b100d30.csv,RandomForestClassifier(),0.911111111,0.014392118,,,
b5000d10.csv,RandomForestClassifier(),0.954074074,0.018496283,,,
b5000d100.csv,RandomForestClassifier(),0.895555556,0.026309334,,,
b5000d30.csv,RandomForestClassifier(),0.947407407,0.011391523,,,
